Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
,0.1145,0,460.343,-1.22,7.5,,2,0.2,25,5.5,0.100628
,0.1145,0,460.343,-1.22,7.5,,2,1,25,5.5,0.18445
,0.1145,0,460.343,-1.22,7.5,,2,2,25,5.5,0.244526
,0.1145,0,460.343,-1.22,7.5,,2,5,25,5.5,0.277779
,0.1145,0,460.343,-1.22,7.5,,2,8,25,5.5,0.354549
,0.1145,0,460.343,-1.22,7.5,,2,10,25,5.5,0.508353
,0.1253,1,460.343,-1.22,7.5,,2,0.2,25,5.5,0.147782
,0.1253,1,460.343,-1.22,7.5,,2,1,25,5.5,0.27547
,0.1253,1,460.343,-1.22,7.5,,2,2,25,5.5,0.3523
,0.1253,1,460.343,-1.22,7.5,,2,5,25,5.5,0.691687
,0.1253,1,460.343,-1.22,7.5,,2,8,25,5.5,0.808857
,0.1253,1,460.343,-1.22,7.5,,2,10,25,5.5,0.905464
,0.1145,0,460.343,-1.22,7.5,,2,,25,3.5,0.22314
,0.1145,0,460.343,-1.22,7.5,,2,,25,4.5,0.363636
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.46832
,0.1145,0,460.343,-1.22,7.5,,2,,25,6.5,0.440771
,0.1145,0,460.343,-1.22,7.5,,2,,25,7.5,0.421488
,0.1145,0,460.343,-1.22,7.5,,2,,25,8.5,0.37441
,0.1253,1,460.343,-1.22,7.5,,2,,25,3.5,0.62259
,0.1253,1,460.343,-1.22,7.5,,2,,25,4.5,0.848485
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,0.752066
,0.1253,1,460.343,-1.22,7.5,,2,,25,6.5,0.730028
,0.1253,1,460.343,-1.22,7.5,,2,,25,7.5,0.603306
,0.1253,1,460.343,-1.22,7.5,,2,,25,8.5,0.581267
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.854067
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.828947
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.728469
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.62799
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,0.631579
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,1.0012
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,0.875598
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,0.706938
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,0.728469
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,0.732057
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,2.91619
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,1.98407
