Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
75,0.1375,0,253.28,0.89,5.7,610,2,25,7,-0.990974258
75,0.1599,0,253.28,0.89,5.7,610,2,25,7,-0.695509472
75,0.1566,0,253.28,0.89,5.7,610,2,25,7,-1.493494968
175,28.561,1,444.44,-1.37,7.7,1690,6.67,25,7,0.101540873
175,35.286,0,444.44,-1.37,7.7,1690,6.67,25,7,0.173273701
175,36.36,0,444.44,-1.37,7.7,1690,6.67,25,7,0.187661703
175,41.324,0,444.44,-1.37,7.7,1690,6.67,25,7,0.200330565
175,49.561,0,444.44,-1.37,7.7,1690,6.67,25,7,0.075984685
,0.173,1,916.1,1.63,7.5,,1.2,25,,-1.080921908
,0.348,1,916.1,1.63,7.5,,1.2,25,,-1.244125144
,0.836,1,916.1,1.63,7.5,,1.2,25,,-1.040958608
,,0,444.44,-1.37,7.7,1690,1,40,6,-2.22184875
,,0,444.44,-1.37,7.7,1690,1,25,6,-2.301029996
,,0,444.44,-1.37,7.7,1690,1,10,6,-2.397940009
,,0,444.44,-1.37,7.7,1690,1,40,6,-2.096910013
,,0,444.44,-1.37,7.7,1690,1,25,6,-2.22184875
,,0,444.44,-1.37,7.7,1690,1,10,6,-2.397940009
125,0.48,0,280.303,0.14,7.4,,2,25,,-0.091027344
0.055,19.48,0,319.33,0.8,8.8,400,0.1,25,6.5,-0.214670165
0.055,19.48,0,319.33,0.8,8.8,400,0.1,25,6.5,-0.050609993
0.055,19.48,0,361.37,-0.4,8.15,3230,0.1,25,6.5,-0.508638306
0.055,19.48,0,361.37,-0.4,8.15,3230,0.1,25,6.5,-0.48148606
0.5,,0,,,,,0.1,25,,0.482673534
0.5,,0,,,,,0.1,25,,0.179206976
0.5,,0,,,,,0.1,25,,0.42015386
75,1.295,1,319.33,0.46,8.8,400,0.5,15,7,-1.619788758
75,1.295,1,319.33,0.46,8.8,400,0.5,25,7,-1.259637311
75,1.295,1,319.33,0.46,8.8,400,0.5,35,7,-1.30980392
75,3.428,0,319.33,0.46,8.8,400,0.5,15,7,-1.229147988
75,3.428,0,319.33,0.46,8.8,400,0.5,25,7,-1.244125144
75,3.428,0,319.33,0.46,8.8,400,0.5,35,7,-1.318758763
75,1.9,1,319.33,0.46,8.8,400,0.5,15,7,-1.387216143
75,1.9,1,319.33,0.46,8.8,400,0.5,25,7,-1.327902142
75,1.9,1,319.33,0.46,8.8,400,0.5,35,7,-1.193820026
75,4.11,0,319.33,0.46,8.8,400,0.5,15,7,-1.366531544
75,4.11,0,319.33,0.46,8.8,400,0.5,25,7,-1.229147988
75,4.11,0,319.33,0.46,8.8,400,0.5,35,7,-1.236572006
75,3.528,1,319.33,0.46,8.8,400,0.5,15,7,-1.251811973
75,3.528,1,319.33,0.46,8.8,400,0.5,25,7,-1.142667504
75,3.528,1,319.33,0.46,8.8,400,0.5,35,7,-1.124938737
75,4.36,0,319.33,0.46,8.8,400,0.5,15,7,-1.180456064
75,4.36,0,319.33,0.46,8.8,400,0.5,25,7,-1.017728767
75,4.36,0,319.33,0.46,8.8,400,0.5,35,7,-1.060480747
75,13.901,1,319.33,0.46,8.8,400,0.5,15,7,-1.107905397
75,13.901,1,319.33,0.46,8.8,400,0.5,25,7,-1.031517051
75,13.901,1,319.33,0.46,8.8,400,0.5,35,7,-1.102372909
75,15.84,0,319.33,0.46,8.8,400,0.5,15,7,-0.987162775
75,15.84,0,319.33,0.46,8.8,400,0.5,25,7,-1.096910013
