Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logQmax,
7.7,7.48,0,331.341,0.28,6.1,19440,2,25,,1.364611211,
500,0.0824727,1,331.341,0.28,6.1,19440,6.7,25,5.5,1.246005904,
500,0.0539636,0,331.341,0.28,6.1,19440,6.7,25,5.5,1.080626487,
500,0.227055,0,331.341,0.28,6.1,19440,6.7,25,5.5,1.023663918,
154,0.14,0,419.45,0.75,7.4,3430,1,25,,1.46478752,
1,,0,361.37,-0.4,8.15,3230,0.25,25,,0.533009022,
125,,0,361.37,-0.4,8.15,3230,0.25,25,,0.530967682,
250,,0,361.37,-0.4,8.15,3230,0.25,25,,0.501880494,
500,,0,361.37,-0.4,8.15,3230,0.25,25,,0.472317546,
69.86,8.71,0,444.44,-1.37,7.7,1690,4,25,6,-1.124938737,
204.7,2.11,0,444.44,-1.37,7.7,1690,4,25,6,-0.812479279,
192,0.001,0,444.44,-1.37,7.7,1690,4,25,6,-1.065501549,
,0.017,1,480.9,,,,18,25,,-0.232844134,
,0.327,0,480.9,,,,18,25,,-0.209714836,
,0.467,0,480.9,,,,18,25,,-0.163675884,
613.55,1.05,1,,,,,0.4,27,7,0.212187604,
138.48,3.41,0,,,,,0.4,27,7,1.167317335,
613.55,1.05,1,419.45,0.75,7.4,3430,0.4,27,7,0.532754379,
138.48,3.41,0,419.45,0.75,7.4,3430,0.4,27,7,1.017033339,
160.37,0.32,1,,,,,0.4,27,7,0.238046103,
